DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
210705560,11/27/2020 12:00:00 AM,11/27/2020 12:00:00 AM,1800,7,Wilshire,776,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1309 0400,31,F,O,101.0,STREET,307.0,VEHICLE,AA,Adult Arrest,230.0,,,,4500    LOMITA                       ST,,34.0452,-118.3351
221016258,09/20/2022 12:00:00 AM,01/01/2020 12:00:00 AM,1,10,West Valley,1067,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",2041 1906 1822,30,F,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956.0,,,,5200    GENESTA                      AV,,34.166,-118.5033
220705246,02/03/2022 12:00:00 AM,02/11/2020 12:00:00 AM,1200,7,Wilshire,747,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,57,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341.0,,,,800 S  TREMAINE                     AV,,34.0608,-118.3359
230808643,04/25/2023 12:00:00 AM,01/01/2020 12:00:00 AM,800,8,West LA,801,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0352 1822 0344,56,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341.0,,,,16700    MONTE HERMOSO                DR,,34.0677,-118.552
231907172,03/21/2023 12:00:00 AM,03/15/2020 12:00:00 AM,1200,19,Mission,1983,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1259 0913 1817 1801 0503,12,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812.0,860.0,,,8500    COLUMBUS                     AV,,34.2246,-118.4654
232011098,06/04/2023 12:00:00 AM,07/01/2020 12:00:00 AM,1200,20,Olympic,2088,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1251 1258 0400 0522 0913 0551 2021,7,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812.0,860.0,,,1700 S  WESTMORELAND                 AV,,34.0433,-118.2892
200412582,09/09/2020 12:00:00 AM,09/09/2020 12:00:00 AM,630,4,Hollenbeck,413,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,200 E  AVENUE 28,,34.082,-118.213
232112438,08/03/2023 12:00:00 AM,07/01/2020 12:00:00 AM,1200,21,Topanga,2157,2,354,THEFT OF IDENTITY,1822 0929 0930,46,M,B,751.0,WEBSITE,,,IC,Invest Cont,354.0,,,,21000    VANOWEN                      ST,,34.1938,-118.5906
221105176,02/02/2022 12:00:00 AM,02/09/2020 12:00:00 AM,1200,11,Northeast,1132,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1912 0913,30,F,W,501.0,SINGLE FAMILY DWELLING,500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,930.0,,,,2800    WAVERLY                      DR,,34.1084,-118.2639
222106031,02/23/2022 12:00:00 AM,08/14/2020 12:00:00 AM,1300,21,Topanga,2113,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",,0,,,203.0,OTHER BUSINESS,,,IC,Invest Cont,668.0,,,,7700    SAUSALITO                    AV,,34.2105,-118.6157
211209197,03/20/2021 12:00:00 AM,07/01/2020 12:00:00 AM,1425,12,77th Street,1243,2,354,THEFT OF IDENTITY,0928,51,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,1600 W  67TH                         ST,,33.9785,-118.3068
220808837,04/28/2022 12:00:00 AM,03/30/2020 12:00:00 AM,1630,8,West LA,842,2,624,BATTERY - SIMPLE ASSAULT,2000 1813 0913 0416,24,F,O,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,1200 S  WESTGATE                     AV,,34.0474,-118.4635
231207725,02/27/2023 12:00:00 AM,01/27/2020 12:00:00 AM,635,12,77th Street,1242,2,354,THEFT OF IDENTITY,0100 0917 1822,37,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,6200    4TH                          AV,,33.9837,-118.3216
231205231,01/17/2023 12:00:00 AM,01/01/2020 12:00:00 AM,1535,12,77th Street,1268,2,354,THEFT OF IDENTITY,0100 0928,27,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,100 E  85TH                         ST,,33.961,-118.2739
231108757,05/09/2023 12:00:00 AM,05/08/2020 12:00:00 AM,2023,11,Northeast,1101,1,330,BURGLARY FROM VEHICLE,0344 1302 1307,20,M,A,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,2800 E  OBSERVATORY                  RD,,34.1192,-118.3004
221404806,01/19/2022 12:00:00 AM,01/18/2020 12:00:00 AM,1600,14,Pacific,1446,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,WASHINGTON                   PL,INGLEWOOD,34.0022,-118.4255
220215983,09/06/2022 12:00:00 AM,05/26/2020 12:00:00 AM,1200,2,Rampart,233,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,200 S  CORONADO                     ST,,34.0697,-118.2779
211220472,09/27/2021 12:00:00 AM,11/26/2020 12:00:00 AM,2000,12,77th Street,1259,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0913 0400 0443 1814 2000,29,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511.0,VERBAL THREAT,AO,Adult Other,930.0,,,,7800 S  SAN PEDRO                    ST,,33.9679,-118.2695
211818877,10/22/2021 12:00:00 AM,03/10/2020 12:00:00 AM,1500,18,Southeast,1801,2,354,THEFT OF IDENTITY,0100 1822 0930 0922,26,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,8700    ORCHARD                      AV,,33.9587,-118.2882
221515929,10/10/2022 12:00:00 AM,04/01/2020 12:00:00 AM,1200,15,N Hollywood,1539,2,354,THEFT OF IDENTITY,0377,33,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,5700    CARTWRIGHT                   AV,,34.174,-118.3638
230406865,03/28/2023 12:00:00 AM,06/28/2020 12:00:00 AM,1250,4,Hollenbeck,478,2,354,THEFT OF IDENTITY,0100,34,F,B,504.0,OTHER RESIDENCE,,,IC,Invest Cont,354.0,,,,3400    PERCY                        ST,,34.0286,-118.1996
231915767,10/25/2023 12:00:00 AM,09/02/2020 12:00:00 AM,1,19,Mission,1985,2,354,THEFT OF IDENTITY,0917,15,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,8700    TOBIAS                       AV,,34.228,-118.4517
221016530,11/15/2022 12:00:00 AM,10/23/2020 12:00:00 AM,1735,10,West Valley,1045,2,354,THEFT OF IDENTITY,1822 0935 1202,65,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,17900    EMELITA                      ST,,34.1776,-118.523
231210407,04/18/2023 12:00:00 AM,01/01/2020 12:00:00 AM,1,12,77th Street,1259,2,354,THEFT OF IDENTITY,0930 0929 0928 1822,59,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,700 E  73RD                         ST,,33.9739,-118.263
220208037,03/30/2022 12:00:00 AM,01/01/2020 12:00:00 AM,800,2,Rampart,249,2,813,CHILD ANNOYING (17YRS & UNDER),1822 0359 1251 1259,15,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,813.0,,,,1100 W  6TH                          ST,,34.0541,-118.2621
221504294,01/06/2022 12:00:00 AM,10/30/2020 12:00:00 AM,1,15,N Hollywood,1535,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0522 0500 1258,9,M,W,501.0,SINGLE FAMILY DWELLING,500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,812.0,,,,5700    COLFAX                       AV,,34.174,-118.3878
221312369,06/03/2022 12:00:00 AM,12/10/2020 12:00:00 AM,700,13,Newton,1333,2,354,THEFT OF IDENTITY,0100,33,M,H,750.0,CYBERSPACE,,,IC,Invest Cont,354.0,,,,2700 S  CENTRAL                      AV,,34.0174,-118.2621
220911866,07/26/2022 12:00:00 AM,02/01/2020 12:00:00 AM,505,9,Van Nuys,971,2,354,THEFT OF IDENTITY,0922 0929 0923 0930,34,F,W,605.0,AUTOMATED TELLER MACHINE (ATM),,,IC,Invest Cont,354.0,,,,15200    LA MAIDA                     ST,,34.1585,-118.464
231906599,03/03/2023 12:00:00 AM,01/14/2020 12:00:00 AM,1335,19,Mission,1902,2,354,THEFT OF IDENTITY,0928,35,M,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,14500    WILLOWGREEN                  LN,,34.3194,-118.4518
230610629,06/02/2023 12:00:00 AM,05/31/2020 12:00:00 AM,430,6,Hollywood,645,1,310,BURGLARY,1822 1607 0216 0344,-2,X,X,203.0,OTHER BUSINESS,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310.0,,,,1700    ORCHID                       AV,,34.103,-118.3402
220321807,12/13/2022 12:00:00 AM,05/17/2020 12:00:00 AM,1620,3,Southwest,317,2,354,THEFT OF IDENTITY,0929 1822 0100 0930 0922,50,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,1400 W  25TH                         ST,,34.0337,-118.2915
221216052,07/07/2022 12:00:00 AM,02/23/2020 12:00:00 AM,1000,12,77th Street,1256,2,354,THEFT OF IDENTITY,0100,28,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,500 W  75TH                         ST,,33.9717,-118.2827
241504067,01/02/2024 12:00:00 AM,12/29/2020 12:00:00 AM,750,15,N Hollywood,1555,2,903,CONTEMPT OF COURT,0913 2038,37,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,903.0,,,,5000    TUJUNGA                      AV,,34.1614,-118.379
220508440,04/27/2022 12:00:00 AM,07/07/2020 12:00:00 AM,1200,5,Harbor,585,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1202 1606,64,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341.0,,,,2300 S  MEYLER                       ST,,33.7234,-118.2968
220213256,07/14/2022 12:00:00 AM,07/14/2020 12:00:00 AM,900,2,Rampart,257,2,354,THEFT OF IDENTITY,0100 0928 1202,79,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,1200 W  7TH                          ST,,34.0552,-118.2675
221607555,04/22/2022 12:00:00 AM,08/01/2020 12:00:00 AM,1200,16,Foothill,1612,2,354,THEFT OF IDENTITY,0928,40,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,11100    HERRICK                      AV,,34.2713,-118.415
221516944,11/03/2022 12:00:00 AM,06/01/2020 12:00:00 AM,1200,15,N Hollywood,1517,2,354,THEFT OF IDENTITY,1817,59,M,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,354.0,,,,6700    BAKMAN                       AV,,34.1925,-118.3779
230617817,11/14/2023 12:00:00 AM,11/13/2020 12:00:00 AM,2015,6,Hollywood,622,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,108.0,PARKING LOT,,,IC,Invest Cont,420.0,,,,7200    FRANKLIN                     AV,,34.1146,-118.3607
231115685,11/12/2023 12:00:00 AM,11/12/2020 12:00:00 AM,1430,11,Northeast,1123,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,27,M,W,108.0,PARKING LOT,,,IC,Invest Cont,440.0,,,,3300    GLENDALE                     BL,,34.1142,-118.2652
231707687,04/04/2023 12:00:00 AM,05/08/2020 12:00:00 AM,1845,17,Devonshire,1745,2,354,THEFT OF IDENTITY,0917 0929,44,M,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,17100    CHATSWORTH                   ST,,34.2648,-118.5055
230711357,06/26/2023 12:00:00 AM,01/01/2020 12:00:00 AM,1,7,Wilshire,774,2,354,THEFT OF IDENTITY,1501,32,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,4900 W  WASHINGTON                   BL,,34.0431,-118.3482
220409258,05/29/2022 12:00:00 AM,03/29/2020 12:00:00 AM,1315,4,Hollenbeck,467,2,354,THEFT OF IDENTITY,0100,16,M,H,504.0,OTHER RESIDENCE,,,IC,Invest Cont,354.0,,,,2600 E  4TH                          ST,,34.0395,-118.2093
220119956,09/06/2022 12:00:00 AM,07/01/2020 12:00:00 AM,1130,1,Central,162,2,354,THEFT OF IDENTITY,0928 1822,22,F,B,750.0,CYBERSPACE,,,IC,Invest Cont,354.0,,,,800 S  HOPE                         ST,,34.0466,-118.259
240604173,01/05/2024 12:00:00 AM,07/09/2020 12:00:00 AM,1230,6,Hollywood,637,2,354,THEFT OF IDENTITY,0928,21,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,6200    HOLLYWOOD                    BL,,34.103,-118.3225
220104934,01/17/2022 12:00:00 AM,12/20/2020 12:00:00 AM,1730,1,Central,158,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 1414 0947 0344,0,X,X,102.0,SIDEWALK,,,IC,Invest Cont,341.0,,,,6TH                          ST,GLADYS                       AV,34.0403,-118.2421
230817493,11/27/2023 12:00:00 AM,09/13/2020 12:00:00 AM,2100,8,West LA,829,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1814 0913 0400,42,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,1700    COMSTOCK                     AV,,34.0596,-118.4233
221718084,12/20/2022 12:00:00 AM,12/02/2020 12:00:00 AM,1510,17,Devonshire,1764,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,15,F,H,404.0,DEPARTMENT STORE,,,IC,Invest Cont,440.0,,,,9300    TAMPA                        AV,,34.244,-118.5583
221110929,06/28/2022 12:00:00 AM,06/27/2020 12:00:00 AM,1945,11,Northeast,1113,1,330,BURGLARY FROM VEHICLE,0344,34,F,W,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,2800    COLORADO                     BL,,34.1428,-118.2261
231711735,06/07/2023 12:00:00 AM,09/02/2020 12:00:00 AM,800,17,Devonshire,1775,2,354,THEFT OF IDENTITY,0929 1822,46,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,17400    NORDHOFF                     ST,,34.2394,-118.5112
231912127,07/26/2023 12:00:00 AM,01/26/2020 12:00:00 AM,1735,19,Mission,1913,2,354,THEFT OF IDENTITY,0923,46,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,14600    NURMI                        ST,,34.307,-118.4521
231818830,11/01/2023 12:00:00 AM,01/01/2020 12:00:00 AM,1,18,Southeast,1841,2,762,LEWD CONDUCT,0913 0602 0360 0545 0536 0531 1258,6,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,762.0,,,,500 W  108TH                        ST,,33.9383,-118.2826
221710268,06/21/2022 12:00:00 AM,05/20/2020 12:00:00 AM,600,17,Devonshire,1767,1,441,THEFT PLAIN - ATTEMPT,0352 0344 1202 2004 2021 0913 1817,72,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,441.0,,,,18600    PRAIRIE                      ST,,34.2442,-118.5362
231007464,03/30/2023 12:00:00 AM,06/25/2020 12:00:00 AM,1225,10,West Valley,1015,2,354,THEFT OF IDENTITY,1822 0929,28,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,7400    JAMIESON                     AV,,34.2048,-118.5219
221917823,12/12/2022 12:00:00 AM,04/05/2020 12:00:00 AM,1550,19,Mission,1921,2,354,THEFT OF IDENTITY,,23,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,15400    EL CAJON                     ST,,34.3054,-118.4681
211404152,01/04/2021 12:00:00 AM,12/28/2020 12:00:00 AM,1600,14,Pacific,1463,1,310,BURGLARY,0397 0344,44,F,H,221.0,PUBLIC STORAGE,,,IC,Invest Cont,310.0,,,,12600 W  JEFFERSON                    BL,,33.9788,-118.4151
231205374,01/25/2023 12:00:00 AM,10/12/2020 12:00:00 AM,1200,12,77th Street,1263,2,354,THEFT OF IDENTITY,0100 0930 1822,35,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,8300 S  HARVARD                      BL,,33.9636,-118.3068
231505589,02/08/2023 12:00:00 AM,09/01/2020 12:00:00 AM,1200,15,N Hollywood,1557,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0400 0416,10,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812.0,860.0,,,10800    HORTENSE                     ST,,34.1548,-118.3662
231420506,11/06/2023 12:00:00 AM,04/02/2020 12:00:00 AM,1825,14,Pacific,1445,2,354,THEFT OF IDENTITY,0928,60,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,12700    PACIFIC                      AV,,33.9993,-118.4397
221508505,04/20/2022 12:00:00 AM,12/31/2020 12:00:00 AM,1200,15,N Hollywood,1525,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,5900    CARPENTER                    AV,,34.1776,-118.3889
231817823,10/13/2023 12:00:00 AM,08/23/2020 12:00:00 AM,1,18,Southeast,1846,2,354,THEFT OF IDENTITY,1822 0100 0344,32,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,1500 E  112TH                        ST,,33.9332,-118.2485
231212586,05/24/2023 12:00:00 AM,06/03/2020 12:00:00 AM,2150,12,77th Street,1241,2,354,THEFT OF IDENTITY,1822 0930 0929,36,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,6400    8TH                          AV,,33.9821,-118.3318
220309099,04/14/2022 12:00:00 AM,06/23/2020 12:00:00 AM,1530,3,Southwest,311,2,354,THEFT OF IDENTITY,0100 0925 0930 1202 1822,72,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,2600    CARMONA                      AV,,34.0325,-118.3639
230810411,06/02/2023 12:00:00 AM,05/28/2020 12:00:00 AM,609,8,West LA,827,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1906 1912,25,M,W,101.0,STREET,511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,11700    MONTANA                      AV,,34.0549,-118.4671
201810154,04/26/2020 12:00:00 AM,04/22/2020 12:00:00 AM,1900,18,Southeast,1802,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,90TH,WALL,33.9547,-118.2717
221412410,06/15/2022 12:00:00 AM,11/12/2020 12:00:00 AM,1700,14,Pacific,1444,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,13600    MARINA POINT                 DR,,33.9876,-118.4489
211505284,02/02/2021 12:00:00 AM,12/27/2020 12:00:00 AM,2000,15,N Hollywood,1585,1,330,BURGLARY FROM VEHICLE,1300 0344,18,F,H,707.0,GARAGE/CARPORT,,,IC,Invest Cont,330.0,,,,10900    BLUFFSIDE                    DR,,34.1412,-118.3681
220209598,04/25/2022 12:00:00 AM,12/29/2020 12:00:00 AM,800,2,Rampart,238,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",0913 1817 1906,27,F,B,501.0,SINGLE FAMILY DWELLING,,,AO,Adult Other,956.0,,,,1300    ANGELINA                     ST,,34.0648,-118.2559
220316688,09/12/2022 12:00:00 AM,09/11/2020 12:00:00 AM,2100,3,Southwest,357,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0385 1251 1300 1606 1822 0329 1309,27,F,O,101.0,STREET,,,IC,Invest Cont,331.0,,,,1300 W  37TH                         DR,,34.0191,-118.2977
